id_transaksi,tanggal,cabang,kategori_produk,nama_produk,harga_satuan,jumlah_terjual,total_penjualan,metode_pembayaran,jenis_kelamin_pelanggan,usia_pelanggan,rating_kepuasan,status_promo,biaya_iklan_harian
TRX00026,2026-01-14,Jakarta,Elektronik Rumah Tangga,"Smart TV 43""",3800000,2,7600000,Debit,Perempuan,42,4,Tidak,1160000
TRX00027,2026-05-27,Bandung,Smartphone,OPPO Reno 12,2300000,1,2579000,Kredit,Perempuan,26,5,Ya,510000
TRX00028,2026-04-16,Bandung,Smartphone,Xiaomi Redmi Note 14,10150000,2,20300000,Tunai,Perempuan,18,4,Tidak,300000
TRX00029,2026-01-17,Jakarta,Aksesoris,Power Bank,600000,5,3577000,Tunai,Perempuan,25,4,Ya,770000
TRX00030,2026-06-26,Jakarta,Elektronik Rumah Tangga,Rice Cooker Digital,1600000,2,3200000,Kredit,Laki-laki,54,5,Tidak,890000
TRX00031,2026-01-17,Malang,Smartphone,Samsung Galaxy A15,7500000,3,22500000,Debit,Laki-laki,42,3,Tidak,510000
TRX00032,2026-02-04,Surabaya,Laptop,ASUS Vivobook 14,9500000,2,19000000,Kredit,Perempuan,32,5,Tidak,590000
TRX00033,2026-03-15,Malang,Smartphone,OPPO Reno 12,9950000,1,11569000,Tunai,Perempuan,54,5,Ya,390000
TRX00034,2026-04-24,Bandung,Elektronik Rumah Tangga,"Smart TV 43""",3700000,1,3700000,Debit,Laki-laki,40,4,Tidak,360000
TRX00035,2026-05-22,Surabaya,Aksesoris,Headset Bluetooth,300000,4,1200000,Tunai,Laki-laki,22,3,Tidak,560000
TRX00036,2026-03-17,Surabaya,Smartphone,Vivo V30,4000000,2,9675000,Tunai,Perempuan,55,5,Ya,590000
TRX00037,2026-04-05,Surabaya,Smartphone,Xiaomi Redmi Note 14,10650000,1,10650000,Kredit,Laki-laki,23,4,Tidak,680000
TRX00038,2026-02-20,Malang,Smartphone,Samsung Galaxy A15,3600000,3,10800000,Debit,Perempuan,48,3,Tidak,410000
TRX00039,2026-02-04,Bandung,Aksesoris,Mouse Wireless,650000,3,1950000,E-Wallet,Laki-laki,41,2,Tidak,400000
TRX00040,2026-06-11,Bandung,Smartphone,Vivo V30,3100000,1,3817000,E-Wallet,Laki-laki,29,3,Ya,430000
TRX00041,2026-06-02,Bandung,Smartphone,OPPO Reno 12,10000000,2,20000000,Kredit,Laki-laki,39,4,Tidak,320000
TRX00042,2026-06-22,Jakarta,Laptop,Lenovo IdeaPad Slim 3,8750000,4,42284000,Tunai,Laki-laki,38,4,Ya,1060000
TRX00043,2026-03-09,Malang,Smartphone,Samsung Galaxy A15,11350000,1,14002000,Tunai,Perempuan,22,4,Ya,390000
TRX00044,2026-05-21,Bandung,Smartphone,Samsung Galaxy A15,3950000,4,15800000,Tunai,Laki-laki,47,2,Tidak,410000
TRX00045,2026-02-18,Bandung,Elektronik Rumah Tangga,Kipas Angin,4750000,2,9500000,E-Wallet,Perempuan,21,3,Tidak,390000
TRX00046,2026-04-25,Surabaya,Aksesoris,Power Bank,1000000,4,4000000,Kredit,Perempuan,53,4,Tidak,540000
TRX00047,2026-03-03,Jakarta,Laptop,HP 14,17750000,1,19844000,E-Wallet,Laki-laki,60,2,Ya,1100000
TRX00048,2026-05-29,Jakarta,Elektronik Rumah Tangga,Kipas Angin,1850000,1,1989000,Kredit,Laki-laki,23,5,Ya,830000
TRX00049,2026-05-27,Malang,Smartphone,Vivo V30,10200000,2,23239000,Tunai,Perempuan,57,4,Ya,400000
TRX00050,2026-05-13,Malang,Elektronik Rumah Tangga,Kipas Angin,7150000,2,14300000,Tunai,Laki-laki,27,4,Tidak,320000
TRX00051,2026-05-12,Bandung,Laptop,Lenovo IdeaPad Slim 3,9750000,4,39000000,Tunai,Laki-laki,34,1,Tidak,470000
TRX00052,2026-01-31,Jakarta,Smartphone,Vivo V30,6450000,3,19350000,Tunai,Perempuan,30,5,Tidak,1010000
TRX00053,2026-06-01,Jakarta,Aksesoris,Power Bank,850000,3,2550000,Debit,Perempuan,56,2,Tidak,820000
TRX00054,2026-05-16,Malang,Smartphone,Vivo V30,4000000,3,12000000,Debit,Laki-laki,39,5,Tidak,420000
TRX00055,2026-06-27,Malang,Smartphone,Vivo V30,10500000,3,31500000,E-Wallet,Perempuan,32,4,Tidak,500000
TRX00056,2026-05-13,Jakarta,Smartphone,Xiaomi Redmi Note 14,2550000,4,10200000,Tunai,Laki-laki,46,4,Tidak,880000
TRX00057,2026-02-11,Surabaya,Elektronik Rumah Tangga,"Smart TV 43""",1400000,2,2800000,Debit,Laki-laki,18,4,Tidak,660000
TRX00058,2026-06-30,Surabaya,Laptop,Lenovo IdeaPad Slim 3,10000000,1,10000000,Debit,Laki-laki,51,4,Tidak,610000
TRX00059,2026-01-28,Malang,Smartphone,Vivo V30,4200000,1,4200000,Debit,Laki-laki,22,5,Tidak,390000
TRX00060,2026-04-08,Malang,Smartphone,Samsung Galaxy A15,10350000,3,38089000,Tunai,Perempuan,42,4,Ya,340000
TRX00061,2026-05-29,Jakarta,Aksesoris,Keyboard Mechanical,550000,2,1167000,Kredit,Laki-laki,58,2,Ya,1020000
TRX00062,2026-02-16,Surabaya,Smartphone,Samsung Galaxy A15,1900000,4,7600000,Kredit,Laki-laki,47,4,Tidak,520000
TRX00063,2026-04-13,Jakarta,Smartphone,Vivo V30,3550000,1,3550000,Kredit,Perempuan,22,3,Tidak,790000
TRX00064,2026-06-01,Jakarta,Aksesoris,Mouse Wireless,1050000,1,1264000,Debit,Laki-laki,29,3,Ya,1040000
TRX00065,2026-04-15,Bandung,Elektronik Rumah Tangga,Kipas Angin,1250000,2,2500000,Tunai,Perempuan,37,3,Tidak,360000
TRX00066,2026-06-05,Surabaya,Aksesoris,Headset Bluetooth,600000,1,673000,E-Wallet,Laki-laki,43,3,Ya,650000
TRX00067,2026-02-06,Bandung,Smartphone,OPPO Reno 12,9750000,1,9750000,Kredit,Perempuan,43,4,Tidak,440000
TRX00068,2026-03-04,Jakarta,Smartphone,Samsung Galaxy A15,9050000,1,11025000,Debit,Perempuan,34,4,Ya,1050000
TRX00069,2026-03-08,Jakarta,Smartphone,Vivo V30,4850000,1,5975000,E-Wallet,Laki-laki,30,2,Ya,690000
TRX00070,2026-03-19,Malang,Elektronik Rumah Tangga,"Smart TV 43""",6650000,1,8293000,Tunai,Laki-laki,31,5,Ya,380000
TRX00071,2026-01-22,Malang,Laptop,Lenovo IdeaPad Slim 3,12850000,2,25700000,Debit,Laki-laki,45,3,Tidak,430000
TRX00072,2026-04-05,Surabaya,Laptop,Acer Aspire 5,15150000,2,35985000,Debit,Perempuan,59,5,Ya,500000
TRX00073,2026-02-22,Bandung,Elektronik Rumah Tangga,Rice Cooker Digital,1550000,4,7510000,E-Wallet,Laki-laki,18,5,Ya,450000
TRX00074,2026-01-16,Jakarta,Laptop,ASUS Vivobook 14,9050000,5,45250000,Tunai,Perempuan,45,4,Tidak,990000
TRX00075,2026-02-13,Bandung,Laptop,HP 14,7500000,1,8143000,Tunai,Laki-laki,45,3,Ya,380000
TRX00076,2026-01-22,Jakarta,Smartphone,Samsung Galaxy A15,6150000,2,14010000,Tunai,Perempuan,41,5,Ya,970000
TRX00077,2026-06-08,Bandung,Aksesoris,Mouse Wireless,550000,1,550000,Debit,Perempuan,60,5,Tidak,380000
TRX00078,2026-05-07,Jakarta,Smartphone,OPPO Reno 12,2650000,2,5300000,Kredit,Laki-laki,26,3,Tidak,1030000
TRX00079,2026-03-16,Jakarta,Smartphone,OPPO Reno 12,3900000,2,9440000,Kredit,Laki-laki,33,4,Ya,760000
TRX00080,2026-01-19,Surabaya,Aksesoris,Mouse Wireless,1100000,1,1100000,E-Wallet,Perempuan,42,5,Tidak,580000
TRX00081,2026-06-28,Malang,Laptop,Lenovo IdeaPad Slim 3,8800000,3,26400000,E-Wallet,Laki-laki,26,2,Tidak,540000
TRX00082,2026-06-23,Malang,Smartphone,Samsung Galaxy A15,10000000,3,30000000,Debit,Laki-laki,59,4,Tidak,330000
TRX00083,2026-02-20,Malang,Elektronik Rumah Tangga,Rice Cooker Digital,7450000,1,7450000,E-Wallet,Perempuan,54,4,Tidak,320000
TRX00084,2026-02-12,Bandung,Aksesoris,Mouse Wireless,1100000,2,2200000,Tunai,Laki-laki,60,4,Tidak,470000
TRX00085,2026-01-13,Bandung,Smartphone,OPPO Reno 12,5550000,1,6124000,E-Wallet,Laki-laki,27,3,Ya,380000
TRX00086,2026-05-09,Malang,Aksesoris,Keyboard Mechanical,500000,1,500000,Debit,Perempuan,52,5,Tidak,450000
TRX00087,2026-02-22,Malang,Aksesoris,Keyboard Mechanical,1050000,2,2100000,E-Wallet,Laki-laki,36,4,Tidak,460000
TRX00088,2026-02-19,Jakarta,Smartphone,Samsung Galaxy A15,9600000,5,53655000,Kredit,Laki-laki,29,5,Ya,670000
TRX00089,2026-06-07,Jakarta,Elektronik Rumah Tangga,Air Fryer,750000,1,848000,Debit,Perempuan,54,1,Ya,690000
TRX00090,2026-03-10,Malang,Elektronik Rumah Tangga,"Smart TV 43""",2750000,2,6062000,Tunai,Perempuan,29,5,Ya,420000
TRX00091,2026-06-17,Malang,Aksesoris,Keyboard Mechanical,1150000,1,1357000,E-Wallet,Perempuan,24,5,Ya,440000
TRX00092,2026-05-20,Bandung,Aksesoris,Headset Bluetooth,850000,2,1876000,E-Wallet,Laki-laki,52,5,Ya,480000
TRX00093,2026-03-27,Malang,Elektronik Rumah Tangga,"Smart TV 43""",550000,2,1100000,Debit,Laki-laki,30,4,Tidak,360000
TRX00094,2026-01-12,Surabaya,Elektronik Rumah Tangga,Kipas Angin,7250000,1,7870000,Tunai,Perempuan,48,2,Ya,750000
TRX00095,2026-01-17,Surabaya,Smartphone,Samsung Galaxy A15,11500000,1,11500000,Debit,Perempuan,30,5,Tidak,640000
TRX00096,2026-03-27,Malang,Smartphone,Xiaomi Redmi Note 14,3250000,3,10668000,Debit,Perempuan,49,4,Ya,410000
TRX00097,2026-05-16,Bandung,Laptop,Acer Aspire 5,11400000,3,37285000,Debit,Laki-laki,18,4,Ya,420000
TRX00098,2026-02-02,Surabaya,Laptop,HP 14,14250000,4,62200000,Debit,Perempuan,28,2,Ya,670000
TRX00099,2026-02-23,Malang,Smartphone,Samsung Galaxy A15,1950000,4,9530000,Debit,Laki-laki,41,3,Ya,420000
TRX00100,2026-06-10,Bandung,Laptop,Lenovo IdeaPad Slim 3,15350000,4,61400000,Debit,Laki-laki,43,5,Tidak,430000
TRX00101,2026-04-08,Bandung,Smartphone,OPPO Reno 12,8150000,5,40750000,Tunai,Laki-laki,24,5,Tidak,360000
TRX00102,2026-02-14,Jakarta,Laptop,ASUS Vivobook 14,12900000,3,38700000,E-Wallet,Perempuan,34,4,Tidak,830000
TRX00103,2026-05-14,Surabaya,Aksesoris,Keyboard Mechanical,350000,1,350000,Kredit,Perempuan,50,4,Tidak,710000
TRX00104,2026-05-31,Jakarta,Aksesoris,Mouse Wireless,450000,2,1109000,E-Wallet,Perempuan,52,3,Ya,1080000
TRX00105,2026-02-23,Surabaya,Elektronik Rumah Tangga,Air Fryer,7150000,2,14300000,Debit,Laki-laki,43,5,Tidak,470000
TRX00106,2026-04-27,Malang,Elektronik Rumah Tangga,"Smart TV 43""",1600000,1,1600000,Debit,Laki-laki,28,2,Tidak,330000
TRX00107,2026-04-07,Malang,Smartphone,Samsung Galaxy A15,6550000,1,6550000,Tunai,Perempuan,31,4,Tidak,440000
TRX00108,2026-01-09,Jakarta,Smartphone,Xiaomi Redmi Note 14,7550000,2,15100000,Tunai,Perempuan,58,2,Tidak,740000
TRX00109,2026-04-18,Surabaya,Smartphone,OPPO Reno 12,2250000,2,4500000,Kredit,Laki-laki,56,4,Tidak,630000
TRX00110,2026-02-21,Malang,Elektronik Rumah Tangga,Air Fryer,600000,2,1200000,E-Wallet,Perempuan,23,2,Tidak,450000
TRX00111,2026-06-11,Malang,Smartphone,Vivo V30,8400000,1,9730000,Tunai,Perempuan,55,5,Ya,310000
TRX00112,2026-02-12,Malang,Smartphone,Samsung Galaxy A15,10650000,5,53250000,Debit,Laki-laki,29,3,Tidak,360000
TRX00113,2026-03-29,Surabaya,Aksesoris,Power Bank,200000,1,223000,Tunai,Perempuan,52,5,Ya,610000
TRX00114,2026-05-21,Jakarta,Laptop,Lenovo IdeaPad Slim 3,8650000,1,8650000,Kredit,Perempuan,38,5,Tidak,780000
TRX00115,2026-02-24,Surabaya,Laptop,Lenovo IdeaPad Slim 3,15900000,5,79500000,Kredit,Perempuan,41,5,Tidak,660000
TRX00116,2026-04-12,Malang,Aksesoris,Keyboard Mechanical,950000,5,5007000,Debit,Perempuan,42,5,Ya,410000
TRX00117,2026-03-22,Surabaya,Aksesoris,Headset Bluetooth,1200000,3,3600000,Debit,Perempuan,48,4,Tidak,550000
TRX00118,2026-05-14,Surabaya,Smartphone,OPPO Reno 12,10900000,2,21800000,Tunai,Laki-laki,52,3,Tidak,740000
TRX00119,2026-05-22,Jakarta,Laptop,Lenovo IdeaPad Slim 3,7150000,5,35750000,Kredit,Laki-laki,30,5,Tidak,920000
TRX00120,2026-05-22,Surabaya,Smartphone,Xiaomi Redmi Note 14,11400000,5,70225000,E-Wallet,Laki-laki,45,4,Ya,520000
TRX00121,2026-01-31,Bandung,Aksesoris,Keyboard Mechanical,150000,3,499000,Debit,Perempuan,28,4,Ya,440000
TRX00122,2026-04-04,Bandung,Smartphone,Xiaomi Redmi Note 14,7450000,5,37250000,E-Wallet,Laki-laki,19,4,Tidak,380000
TRX00123,2026-06-22,Bandung,Smartphone,Vivo V30,5000000,5,29318000,E-Wallet,Perempuan,52,5,Ya,370000
TRX00124,2026-05-20,Surabaya,Smartphone,Samsung Galaxy A15,5300000,4,24690000,E-Wallet,Perempuan,31,3,Ya,630000
TRX00125,2026-02-07,Malang,Elektronik Rumah Tangga,Air Fryer,5150000,2,11167000,E-Wallet,Laki-laki,57,4,Ya,420000
TRX00126,2026-03-05,Jakarta,Laptop,HP 14,17050000,2,39492000,Kredit,Laki-laki,19,4,Ya,810000
TRX00127,2026-04-23,Malang,Elektronik Rumah Tangga,Rice Cooker Digital,2500000,5,15117000,E-Wallet,Laki-laki,29,3,Ya,520000
TRX00128,2026-06-30,Jakarta,Laptop,Acer Aspire 5,7550000,1,7550000,Kredit,Laki-laki,56,3,Tidak,990000
TRX00129,2026-06-15,Surabaya,Aksesoris,Power Bank,850000,3,2550000,Kredit,Laki-laki,33,5,Tidak,600000
TRX00130,2026-05-02,Malang,Laptop,ASUS Vivobook 14,16400000,3,59111000,Debit,Laki-laki,45,3,Ya,440000
TRX00131,2026-06-24,Jakarta,Smartphone,Vivo V30,7150000,3,21450000,E-Wallet,Laki-laki,56,4,Tidak,790000
TRX00132,2026-01-04,Surabaya,Laptop,Lenovo IdeaPad Slim 3,9550000,1,9550000,E-Wallet,Perempuan,26,4,Tidak,490000
TRX00133,2026-03-02,Jakarta,Elektronik Rumah Tangga,Rice Cooker Digital,3950000,1,4323000,E-Wallet,Perempuan,47,2,Ya,680000
TRX00134,2026-06-14,Malang,Smartphone,Samsung Galaxy A15,2500000,1,2500000,Tunai,Perempuan,26,2,Tidak,480000
TRX00135,2026-04-14,Bandung,Smartphone,Vivo V30,11500000,4,46000000,E-Wallet,Laki-laki,30,3,Tidak,480000
TRX00136,2026-03-16,Malang,Aksesoris,Keyboard Mechanical,350000,3,1204000,Kredit,Laki-laki,18,5,Ya,530000
TRX00137,2026-03-30,Malang,Aksesoris,Keyboard Mechanical,400000,2,905000,Kredit,Perempuan,36,3,Ya,510000
TRX00138,2026-02-21,Jakarta,Smartphone,Vivo V30,3550000,3,10650000,E-Wallet,Laki-laki,39,4,Tidak,640000
TRX00139,2026-05-02,Surabaya,Laptop,ASUS Vivobook 14,8150000,1,8913000,E-Wallet,Laki-laki,30,3,Ya,680000
TRX00140,2026-01-18,Jakarta,Elektronik Rumah Tangga,Kipas Angin,5700000,2,12053000,Tunai,Perempuan,48,4,Ya,1100000
TRX00141,2026-04-15,Malang,Elektronik Rumah Tangga,Kipas Angin,5350000,5,31922000,Tunai,Perempuan,34,4,Ya,430000
TRX00142,2026-05-15,Jakarta,Smartphone,Xiaomi Redmi Note 14,10000000,1,10000000,Kredit,Laki-laki,33,5,Tidak,910000
TRX00143,2026-04-02,Surabaya,Elektronik Rumah Tangga,"Smart TV 43""",450000,1,556000,Debit,Perempuan,43,3,Ya,760000
TRX00144,2026-06-02,Surabaya,Aksesoris,Power Bank,1100000,1,1100000,Kredit,Perempuan,56,4,Tidak,640000
TRX00145,2026-02-15,Surabaya,Elektronik Rumah Tangga,"Smart TV 43""",5900000,5,29500000,Debit,Laki-laki,30,3,Tidak,600000
TRX00146,2026-02-28,Malang,Laptop,ASUS Vivobook 14,7150000,1,7150000,Kredit,Laki-laki,38,4,Tidak,360000
TRX00147,2026-01-21,Bandung,Laptop,Acer Aspire 5,16100000,5,80500000,Debit,Laki-laki,28,2,Tidak,400000
TRX00148,2026-06-21,Jakarta,Laptop,Lenovo IdeaPad Slim 3,15950000,1,15950000,E-Wallet,Perempuan,34,5,Tidak,910000
TRX00149,2026-02-17,Malang,Aksesoris,Headset Bluetooth,1000000,1,1000000,Kredit,Laki-laki,51,5,Tidak,330000
TRX00150,2026-01-09,Surabaya,Smartphone,OPPO Reno 12,10300000,1,10300000,Debit,Perempuan,36,4,Tidak,470000
TRX00151,2026-05-10,Jakarta,Smartphone,Xiaomi Redmi Note 14,4100000,1,4320000,Debit,Laki-laki,60,5,Ya,670000
TRX00152,2026-01-24,Bandung,Smartphone,OPPO Reno 12,4700000,5,23500000,E-Wallet,Laki-laki,54,3,Tidak,400000
TRX00153,2026-06-19,Bandung,Smartphone,Vivo V30,10750000,2,21500000,Kredit,Laki-laki,25,4,Tidak,430000
TRX00154,2026-05-05,Jakarta,Elektronik Rumah Tangga,Kipas Angin,2400000,1,2400000,E-Wallet,Laki-laki,29,1,Tidak,770000
TRX00155,2026-01-01,Surabaya,Aksesoris,Mouse Wireless,1100000,4,4400000,E-Wallet,Perempuan,21,4,Tidak,560000
TRX00156,2026-01-11,Surabaya,Elektronik Rumah Tangga,"Smart TV 43""",7350000,2,14700000,Debit,Perempuan,40,5,Tidak,610000
TRX00157,2026-01-13,Jakarta,Elektronik Rumah Tangga,"Smart TV 43""",3200000,2,6400000,Kredit,Perempuan,48,5,Tidak,660000
TRX00158,2026-05-21,Jakarta,Laptop,Acer Aspire 5,14000000,1,14000000,E-Wallet,Laki-laki,50,3,Tidak,730000
TRX00159,2026-04-21,Bandung,Laptop,ASUS Vivobook 14,17450000,2,34900000,E-Wallet,Perempuan,36,5,Tidak,350000
TRX00160,2026-05-07,Bandung,Smartphone,OPPO Reno 12,11000000,3,37495000,Tunai,Perempuan,43,5,Ya,290000
TRX00161,2026-02-17,Jakarta,Laptop,Acer Aspire 5,8050000,3,24150000,E-Wallet,Perempuan,27,5,Tidak,910000
TRX00162,2026-04-28,Malang,Aksesoris,Power Bank,400000,1,469000,Kredit,Laki-laki,29,5,Ya,410000
TRX00163,2026-05-15,Malang,Aksesoris,Power Bank,100000,2,200000,Kredit,Perempuan,46,4,Tidak,330000
TRX00164,2026-06-25,Bandung,Aksesoris,Power Bank,50000,5,250000,Debit,Laki-laki,53,3,Tidak,380000
TRX00165,2026-05-07,Bandung,Laptop,HP 14,15600000,1,15600000,E-Wallet,Perempuan,50,4,Tidak,340000
TRX00166,2026-03-13,Surabaya,Smartphone,Vivo V30,9950000,1,9950000,Kredit,Laki-laki,43,2,Tidak,550000
TRX00167,2026-02-04,Malang,Laptop,ASUS Vivobook 14,17000000,1,17000000,Kredit,Laki-laki,19,5,Tidak,400000
TRX00168,2026-04-13,Surabaya,Aksesoris,Headset Bluetooth,950000,1,950000,Debit,Perempuan,23,1,Tidak,640000
TRX00169,2026-04-01,Surabaya,Smartphone,Xiaomi Redmi Note 14,11050000,2,22100000,Tunai,Perempuan,50,2,Tidak,620000
TRX00170,2026-06-14,Malang,Smartphone,Vivo V30,9450000,3,28350000,E-Wallet,Perempuan,51,2,Tidak,480000
TRX00171,2026-03-11,Jakarta,Smartphone,Vivo V30,5150000,4,20600000,Tunai,Perempuan,43,3,Tidak,1030000
TRX00172,2026-04-12,Bandung,Aksesoris,Mouse Wireless,750000,2,1500000,Kredit,Perempuan,35,5,Tidak,370000
TRX00173,2026-06-13,Surabaya,Aksesoris,Keyboard Mechanical,350000,1,433000,Tunai,Laki-laki,31,3,Ya,360000
TRX00174,2026-01-28,Bandung,Laptop,Lenovo IdeaPad Slim 3,16100000,5,80500000,E-Wallet,Perempuan,38,4,Tidak,360000
TRX00175,2026-05-08,Surabaya,Elektronik Rumah Tangga,Air Fryer,6800000,1,7718000,Kredit,Perempuan,26,1,Ya,750000
TRX00176,2026-04-06,Surabaya,Smartphone,OPPO Reno 12,6200000,4,24800000,Debit,Laki-laki,52,4,Tidak,610000
TRX00177,2026-01-17,Jakarta,Elektronik Rumah Tangga,Kipas Angin,4250000,5,21250000,Debit,Laki-laki,54,4,Tidak,820000
TRX00178,2026-04-09,Malang,Aksesoris,Power Bank,1200000,1,1338000,E-Wallet,Perempuan,43,5,Ya,390000
TRX00179,2026-01-12,Malang,Smartphone,OPPO Reno 12,8450000,1,10538000,Debit,Perempuan,43,5,Ya,420000
TRX00180,2026-04-03,Bandung,Laptop,ASUS Vivobook 14,13100000,1,16119000,Kredit,Laki-laki,19,3,Ya,400000
TRX00181,2026-03-02,Malang,Smartphone,Samsung Galaxy A15,9600000,3,28800000,E-Wallet,Perempuan,36,3,Tidak,490000
TRX00182,2026-01-14,Jakarta,Laptop,ASUS Vivobook 14,16150000,2,39982000,Tunai,Perempuan,53,4,Ya,980000
TRX00183,2026-05-31,Jakarta,Elektronik Rumah Tangga,Rice Cooker Digital,7500000,1,7500000,E-Wallet,Laki-laki,58,4,Tidak,930000
TRX00184,2026-03-07,Malang,Elektronik Rumah Tangga,Kipas Angin,850000,3,2792000,E-Wallet,Perempuan,58,5,Ya,430000
TRX00185,2026-02-19,Malang,Laptop,HP 14,8950000,1,8950000,Kredit,Perempuan,36,4,Tidak,350000
TRX00186,2026-01-17,Malang,Aksesoris,Power Bank,750000,1,750000,E-Wallet,Laki-laki,52,4,Tidak,410000
TRX00187,2026-05-08,Bandung,Laptop,ASUS Vivobook 14,11950000,4,47800000,E-Wallet,Laki-laki,34,4,Tidak,350000
TRX00188,2026-02-25,Malang,Laptop,Lenovo IdeaPad Slim 3,18000000,3,58235000,Kredit,Laki-laki,45,4,Ya,410000
TRX00189,2026-05-28,Malang,Smartphone,Samsung Galaxy A15,11000000,2,25298000,Debit,Laki-laki,52,4,Ya,530000
TRX00190,2026-05-31,Jakarta,Laptop,Acer Aspire 5,8250000,1,8250000,Kredit,Perempuan,25,4,Tidak,780000
TRX00191,2026-04-04,Surabaya,Smartphone,Xiaomi Redmi Note 14,2050000,1,2528000,E-Wallet,Laki-laki,41,4,Ya,560000
TRX00192,2026-06-26,Jakarta,Elektronik Rumah Tangga,Rice Cooker Digital,4950000,2,9900000,E-Wallet,Laki-laki,35,3,Tidak,840000
TRX00193,2026-01-09,Malang,Smartphone,Xiaomi Redmi Note 14,5950000,1,5950000,Tunai,Perempuan,30,3,Tidak,400000
TRX00194,2026-04-29,Jakarta,Smartphone,Xiaomi Redmi Note 14,6300000,2,12600000,Debit,Laki-laki,34,2,Tidak,810000
TRX00195,2026-03-31,Jakarta,Elektronik Rumah Tangga,"Smart TV 43""",6350000,1,6350000,E-Wallet,Laki-laki,31,3,Tidak,580000
TRX00196,2026-02-27,Bandung,Smartphone,Samsung Galaxy A15,9250000,2,18500000,Debit,Laki-laki,30,5,Tidak,430000
TRX00197,2026-02-11,Surabaya,Aksesoris,Keyboard Mechanical,1150000,4,4600000,Debit,Laki-laki,19,2,Tidak,550000
TRX00198,2026-06-25,Surabaya,Aksesoris,Mouse Wireless,900000,1,900000,Debit,Laki-laki,47,4,Tidak,640000
