tanggal,cabang,kategori_produk,harga_satuan,jumlah,total_penjualan,metode_pembayaran,usia_pelanggan
2024-02-16,Surabaya,Smartphone,8457000,1,8457000,Kartu Kredit,49
2024-02-16,Malang,Laptop,11510000,1,11510000,QRIS,21
2024-02-17,Malang,Smartphone,8586000,2,17172000,Kartu Kredit,32
2024-02-17,Surabaya,Smartphone,9891000,1,9891000,Kartu Kredit,38
2024-02-18,Surabaya,Smartphone,3338000,1,3338000,QRIS,26
2024-02-18,Malang,Smartphone,2178000,3,6534000,Kartu Debit,22
2024-02-18,Malang,Smartphone,5042000,1,5042000,Kartu Debit,17
2024-02-21,Surabaya,Smartphone,9111000,2,18222000,QRIS,39
2024-02-21,Malang,Laptop,13848000,1,13848000,Kartu Debit,29
2024-02-22,Jakarta,TV,5402000,2,10804000,Kartu Debit,36
2024-02-23,Surabaya,Smartphone,2430000,1,2430000,Kartu Kredit,57
2024-02-23,Malang,Smartphone,2078000,1,2078000,Kartu Debit,17
2024-02-23,Surabaya,Smartphone,2368000,1,2368000,Kartu Debit,17
2024-02-23,Malang,Kulkas,2030000,1,2030000,Kartu Debit,35
2024-02-24,Malang,TV,12816000,1,12816000,Tunai,19
2024-02-24,Malang,Smartphone,3865000,1,3865000,QRIS,43
2024-02-26,Jakarta,Aksesoris,204000,1,204000,QRIS,44
2024-02-26,Jakarta,Laptop,17245000,3,51735000,QRIS,30
2024-02-27,Surabaya,Smartphone,10215000,1,10215000,Kartu Kredit,54
2024-02-28,Malang,Smartphone,3108000,1,3108000,QRIS,17
2024-02-28,Malang,Aksesoris,263000,2,526000,Kartu Debit,32
2024-02-28,Bandung,TV,10167000,1,10167000,Tunai,47
2024-02-28,Malang,Aksesoris,648000,1,648000,Tunai,56
2024-02-29,Bandung,AC,6376000,1,6376000,Kartu Debit,37
2024-02-29,Malang,Kulkas,5035000,1,5035000,QRIS,33
2024-02-29,Jakarta,Smartphone,9815000,2,19630000,Kartu Kredit,31
2024-02-29,Bandung,TV,6397000,1,6397000,Kartu Debit,40
2024-03-01,Jakarta,Kulkas,2490000,2,4980000,Tunai,36
2024-03-01,Surabaya,Smartphone,6052000,1,6052000,Kartu Kredit,40
2024-03-01,Jakarta,Laptop,18114000,1,18114000,Tunai,40
2024-03-02,Bandung,Smartphone,2094000,1,2094000,QRIS,19
2024-03-02,Malang,Smartphone,5388000,2,10776000,Kartu Debit,27
2024-03-02,Jakarta,Laptop,19236000,3,57708000,Kartu Debit,25
2024-03-02,Surabaya,Kulkas,2402000,1,2402000,QRIS,27
2024-03-03,Bandung,Aksesoris,244000,1,244000,Tunai,30
2024-03-03,Malang,Aksesoris,652000,1,652000,Tunai,21
2024-03-03,Surabaya,TV,7844000,1,7844000,QRIS,33
2024-03-03,Malang,Smartphone,8401000,1,8401000,QRIS,33
2024-03-04,Surabaya,Aksesoris,606000,2,1212000,QRIS,31
2024-03-04,Bandung,Laptop,18411000,1,18411000,QRIS,25
2024-03-04,Jakarta,Laptop,11828000,1,11828000,QRIS,37
2024-03-04,Surabaya,Smartphone,6755000,1,6755000,QRIS,39
2024-03-04,Jakarta,Smartphone,8320000,1,8320000,QRIS,38
2024-03-05,Malang,Smartphone,11096000,1,11096000,Kartu Kredit,47
2024-03-06,Malang,Smartphone,7006000,1,7006000,Kartu Kredit,32
2024-03-06,Surabaya,Smartphone,2631000,1,2631000,QRIS,17
2024-03-06,Surabaya,Kulkas,2981000,1,2981000,Tunai,17
2024-03-07,Bandung,Aksesoris,700000,1,700000,Kartu Debit,42
2024-03-08,Surabaya,TV,12982000,1,12982000,Tunai,37
2024-03-09,Malang,AC,3376000,2,6752000,QRIS,34
2024-03-09,Surabaya,Smartphone,6096000,1,6096000,Kartu Kredit,50
2024-03-09,Surabaya,Kulkas,2573000,1,2573000,Kartu Debit,40
2024-03-09,Surabaya,Smartphone,11406000,1,11406000,Kartu Debit,43
2024-03-10,Surabaya,Aksesoris,504000,1,504000,QRIS,56
2024-03-10,Jakarta,Smartphone,8340000,1,8340000,Kartu Kredit,34
2024-03-10,Jakarta,Aksesoris,558000,1,558000,Kartu Kredit,24
2024-03-10,Jakarta,Smartphone,10026000,1,10026000,Kartu Debit,28
2024-03-10,Jakarta,TV,3628000,2,7256000,QRIS,43
2024-03-13,Bandung,Aksesoris,654000,1,654000,QRIS,47
2024-03-13,Bandung,Laptop,11433000,2,22866000,QRIS,25
2024-03-13,Jakarta,Aksesoris,166000,1,166000,Kartu Debit,30
2024-03-14,Surabaya,Aksesoris,313000,1,313000,QRIS,35
2024-03-14,Surabaya,Smartphone,2731000,1,2731000,Kartu Kredit,30
2024-03-14,Surabaya,Kulkas,2737000,2,5474000,Kartu Debit,37
2024-03-15,Surabaya,TV,7756000,1,7756000,Kartu Debit,28
2024-03-15,Jakarta,Aksesoris,138000,1,138000,Kartu Kredit,56
2024-03-15,Surabaya,Aksesoris,598000,1,598000,QRIS,17
2024-03-16,Malang,Aksesoris,603000,1,603000,Kartu Debit,49
2024-03-17,Surabaya,Aksesoris,420000,1,420000,Tunai,51
2024-03-17,Jakarta,Aksesoris,703000,1,703000,Kartu Kredit,37
2024-03-18,Malang,AC,8454000,1,8454000,QRIS,43
2024-03-18,Bandung,TV,14050000,1,14050000,Kartu Kredit,24
2024-03-18,Malang,TV,6047000,2,12094000,QRIS,45
2024-03-19,Surabaya,Aksesoris,236000,1,236000,Kartu Debit,33
2024-03-19,Malang,Smartphone,6322000,2,12644000,Kartu Debit,36
2024-03-19,Malang,Aksesoris,418000,1,418000,Kartu Kredit,35
2024-03-20,Bandung,Aksesoris,567000,1,567000,QRIS,26
2024-03-20,Surabaya,Smartphone,4420000,3,13260000,QRIS,17
2024-03-21,Malang,Aksesoris,629000,1,629000,QRIS,35
2024-03-21,Surabaya,Smartphone,4201000,1,4201000,QRIS,22
2024-03-21,Bandung,Aksesoris,199000,1,199000,Kartu Kredit,45
2024-03-21,Surabaya,TV,13880000,1,13880000,Kartu Debit,33
2024-03-22,Malang,Laptop,8902000,1,8902000,Tunai,39
2024-03-22,Bandung,Smartphone,3959000,1,3959000,QRIS,62
2024-03-23,Jakarta,Aksesoris,488000,1,488000,Kartu Kredit,56
2024-03-24,Bandung,TV,7255000,3,21765000,QRIS,33
2024-03-24,Malang,TV,14543000,1,14543000,Kartu Kredit,17
2024-03-24,Bandung,Smartphone,9312000,2,18624000,Tunai,17
2024-03-26,Malang,Smartphone,9308000,1,9308000,QRIS,43
2024-03-26,Surabaya,Aksesoris,596000,1,596000,Kartu Kredit,24
2024-03-26,Jakarta,Smartphone,5777000,1,5777000,Kartu Debit,26
2024-03-27,Bandung,Laptop,9061000,1,9061000,Kartu Debit,30
2024-03-27,Malang,AC,4002000,1,4002000,Tunai,31
2024-03-29,Surabaya,Smartphone,8049000,1,8049000,Tunai,55
2024-03-29,Bandung,Laptop,18033000,1,18033000,QRIS,32
2024-03-29,Bandung,Kulkas,3655000,1,3655000,QRIS,46
2024-03-30,Bandung,AC,4549000,1,4549000,QRIS,25
2024-04-01,Malang,Aksesoris,387000,1,387000,QRIS,18
2024-04-01,Surabaya,Smartphone,6165000,2,12330000,QRIS,30
2024-04-02,Surabaya,Kulkas,5658000,1,5658000,Kartu Debit,17
2024-04-02,Malang,Smartphone,3718000,1,3718000,Kartu Kredit,34
2024-04-03,Jakarta,Smartphone,2306000,1,2306000,Kartu Debit,40
2024-04-03,Jakarta,Kulkas,3111000,1,3111000,QRIS,24
2024-04-04,Jakarta,Kulkas,2881000,2,5762000,Kartu Debit,19
2024-04-04,Malang,Aksesoris,387000,1,387000,Tunai,17
2024-04-06,Malang,AC,6470000,1,6470000,QRIS,17
2024-04-06,Jakarta,TV,11422000,2,22844000,Kartu Debit,17
2024-04-06,Bandung,TV,13826000,1,13826000,QRIS,17
2024-04-06,Bandung,TV,11768000,1,11768000,Tunai,45
2024-04-06,Malang,Aksesoris,249000,1,249000,Kartu Kredit,35
2024-04-07,Malang,Laptop,15785000,1,15785000,Kartu Debit,17
2024-04-07,Surabaya,Smartphone,11456000,2,22912000,Kartu Kredit,32
2024-04-07,Malang,Laptop,8632000,2,17264000,Kartu Debit,48
2024-04-07,Bandung,AC,3406000,1,3406000,Kartu Debit,34
2024-04-08,Malang,Smartphone,4768000,3,14304000,QRIS,39
2024-04-08,Jakarta,Smartphone,9869000,1,9869000,QRIS,47
2024-04-08,Bandung,Smartphone,8950000,3,26850000,QRIS,33
2024-04-09,Jakarta,TV,5695000,1,5695000,Kartu Kredit,30
2024-04-10,Surabaya,Smartphone,2373000,2,4746000,QRIS,52
2024-04-11,Jakarta,Kulkas,6186000,1,6186000,QRIS,17
2024-04-11,Bandung,TV,13294000,1,13294000,QRIS,66
2024-04-12,Jakarta,Aksesoris,494000,1,494000,Kartu Debit,17
2024-04-12,Surabaya,Aksesoris,608000,1,608000,Kartu Debit,32
2024-04-13,Bandung,Smartphone,5993000,1,5993000,Tunai,24
2024-04-13,Surabaya,Smartphone,5109000,1,5109000,Kartu Kredit,39
2024-04-13,Bandung,TV,9466000,2,18932000,Kartu Debit,17
2024-04-13,Jakarta,Laptop,8812000,1,8812000,QRIS,46
2024-04-14,Surabaya,TV,8221000,1,8221000,QRIS,32
2024-04-16,Bandung,Aksesoris,71000,2,142000,QRIS,39
2024-04-16,Malang,TV,14550000,1,14550000,QRIS,20
2024-04-17,Malang,Aksesoris,224000,1,224000,Kartu Debit,41
2024-04-17,Surabaya,TV,10098000,1,10098000,Kartu Kredit,17
2024-04-18,Bandung,Laptop,17412000,1,17412000,Kartu Debit,35
2024-04-18,Malang,Smartphone,10349000,3,31047000,Kartu Debit,47
2024-04-18,Surabaya,AC,3250000,1,3250000,Kartu Kredit,32
2024-04-19,Jakarta,Aksesoris,252000,2,504000,Kartu Debit,39
2024-04-19,Surabaya,AC,7922000,1,7922000,Kartu Kredit,35
2024-04-20,Surabaya,AC,3220000,1,3220000,Kartu Kredit,39
2024-04-20,Jakarta,Kulkas,5408000,1,5408000,Kartu Debit,42
2024-04-21,Surabaya,Smartphone,8332000,1,8332000,Kartu Kredit,21
2024-04-21,Bandung,Aksesoris,751000,1,751000,Kartu Kredit,46
2024-04-22,Surabaya,Laptop,12110000,1,4844000,Tunai,33
2024-04-22,Malang,TV,4114000,2,8228000,Kartu Debit,17
2024-04-22,Malang,Smartphone,11283000,1,11283000,Kartu Debit,45
2024-04-22,Surabaya,Aksesoris,485000,1,485000,QRIS,33
2024-04-23,Bandung,TV,8880000,1,8880000,Tunai,57
2024-04-24,Surabaya,Laptop,19379000,1,7751600,QRIS,26
2024-04-25,Bandung,Smartphone,9362000,1,9362000,Tunai,43
2024-04-26,Surabaya,Laptop,5821000,1,2328400,Kartu Kredit,47
2024-04-26,Surabaya,Smartphone,6791000,1,6791000,QRIS,38
2024-04-27,Malang,Smartphone,3288000,1,3288000,QRIS,23
2024-04-27,Jakarta,Smartphone,11152000,1,11152000,QRIS,45
2024-04-27,Jakarta,Laptop,13904000,1,13904000,Kartu Debit,39
2024-04-27,Surabaya,Smartphone,3198000,1,3198000,Tunai,31
2024-04-27,Malang,Smartphone,9140000,1,9140000,Kartu Kredit,42
2024-04-28,Malang,Smartphone,4607000,1,4607000,Tunai,26
2024-04-28,Jakarta,Kulkas,5409000,1,5409000,QRIS,40
2024-04-28,Malang,Kulkas,4132000,1,4132000,QRIS,34
2024-04-28,Malang,Smartphone,5079000,1,5079000,QRIS,32
2024-04-28,Bandung,Smartphone,11758000,1,11758000,QRIS,28
2024-04-28,Malang,Aksesoris,315000,1,315000,QRIS,41
2024-04-28,Malang,Smartphone,7311000,2,14622000,QRIS,26
2024-04-29,Malang,TV,11161000,1,11161000,Tunai,49
2024-04-29,Malang,AC,5962000,1,5962000,Kartu Debit,23
2024-04-29,Surabaya,Aksesoris,672000,3,2016000,QRIS,42
2024-04-30,Surabaya,Smartphone,11182000,1,11182000,Kartu Kredit,33
2024-05-01,Jakarta,Aksesoris,118000,1,118000,QRIS,43
2024-05-01,Jakarta,Aksesoris,221000,1,221000,Kartu Debit,42
2024-05-01,Jakarta,TV,10912000,1,10912000,QRIS,39
2024-05-01,Malang,Kulkas,4965000,1,4965000,Kartu Kredit,23
2024-05-03,Jakarta,Aksesoris,63000,3,189000,Kartu Kredit,27
2024-05-03,Bandung,Kulkas,5494000,1,5494000,Kartu Kredit,45
2024-05-03,Bandung,Smartphone,3957000,1,3957000,Kartu Debit,35
2024-05-04,Malang,Smartphone,8596000,1,8596000,QRIS,43
2024-05-04,Bandung,Aksesoris,415000,1,415000,Kartu Kredit,36
2024-05-04,Bandung,Aksesoris,475000,1,475000,Tunai,44
2024-05-04,Surabaya,Laptop,6036000,1,2414400,QRIS,43
2024-05-05,Malang,Smartphone,4810000,2,9620000,Tunai,25
2024-05-05,Malang,TV,9092000,1,9092000,Tunai,37
2024-05-05,Bandung,Laptop,17693000,1,17693000,Kartu Kredit,36
2024-05-06,Surabaya,Smartphone,11187000,1,11187000,QRIS,37
2024-05-06,Malang,Aksesoris,201000,1,201000,QRIS,43
2024-05-07,Jakarta,Smartphone,2705000,1,2705000,QRIS,34
2024-05-07,Malang,TV,11111000,2,22222000,Kartu Debit,19
2024-05-07,Jakarta,Kulkas,2531000,1,2531000,QRIS,39
2024-05-07,Jakarta,Laptop,19956000,3,59868000,Kartu Kredit,33
2024-05-07,Malang,Aksesoris,685000,1,685000,Tunai,30
2024-05-09,Malang,Kulkas,2338000,1,2338000,Tunai,28
2024-05-09,Surabaya,Smartphone,3608000,1,3608000,QRIS,41
2024-05-10,Surabaya,Aksesoris,394000,1,394000,Kartu Debit,34
2024-05-10,Malang,Aksesoris,145000,1,145000,Tunai,30
2024-05-10,Surabaya,Aksesoris,191000,1,191000,Kartu Kredit,30
2024-05-10,Surabaya,Aksesoris,629000,1,629000,QRIS,35
2024-05-11,Malang,Smartphone,10145000,1,10145000,Kartu Debit,43
2024-05-11,Surabaya,TV,8513000,1,8513000,Kartu Kredit,37
2024-05-11,Surabaya,Kulkas,5787000,1,5787000,Kartu Kredit,36
2024-05-13,Malang,Aksesoris,244000,1,244000,QRIS,37
2024-05-14,Jakarta,Smartphone,6145000,2,12290000,Tunai,49
2024-05-15,Malang,Smartphone,7165000,1,7165000,QRIS,19
2024-05-15,Malang,Smartphone,6938000,1,6938000,QRIS,33
2024-05-16,Malang,TV,13943000,1,13943000,Kartu Kredit,31
2024-05-16,Bandung,Smartphone,11308000,2,22616000,QRIS,28
2024-05-16,Surabaya,Smartphone,10306000,1,10306000,Kartu Kredit,27
2024-05-16,Jakarta,Kulkas,6777000,1,6777000,QRIS,30
2024-05-16,Surabaya,Smartphone,2253000,3,6759000,Kartu Kredit,44
2024-05-18,Surabaya,Kulkas,4120000,1,4120000,QRIS,25
2024-05-18,Surabaya,Kulkas,2835000,1,2835000,Kartu Debit,39
2024-05-18,Malang,Smartphone,8106000,1,8106000,Kartu Debit,17
2024-05-19,Jakarta,TV,9120000,1,9120000,QRIS,19
2024-05-20,Surabaya,Kulkas,6823000,1,6823000,Kartu Kredit,49
2024-05-21,Bandung,Smartphone,3690000,1,3690000,QRIS,42
2024-05-21,Surabaya,Aksesoris,686000,1,686000,QRIS,17
2024-05-21,Jakarta,Smartphone,4238000,1,4238000,Kartu Debit,32
2024-05-23,Malang,Smartphone,8278000,1,8278000,QRIS,34
2024-05-24,Surabaya,Smartphone,7813000,2,15626000,Tunai,26
2024-05-24,Jakarta,Smartphone,8699000,1,8699000,Kartu Debit,42
2024-05-24,Bandung,Smartphone,6754000,1,6754000,Tunai,38
2024-05-25,Jakarta,Smartphone,6673000,1,6673000,Tunai,17
2024-05-26,Jakarta,Smartphone,5838000,1,5838000,QRIS,26
2024-05-26,Surabaya,Smartphone,11309000,1,11309000,Kartu Kredit,44
2024-05-26,Malang,Aksesoris,715000,1,715000,QRIS,47
2024-05-26,Surabaya,Smartphone,8567000,2,17134000,Kartu Debit,44
2024-05-26,Jakarta,Smartphone,3327000,3,9981000,Kartu Kredit,26
2024-05-27,Malang,Kulkas,4528000,2,9056000,Kartu Kredit,46
2024-05-27,Surabaya,Aksesoris,151000,1,151000,QRIS,37
2024-05-27,Jakarta,Aksesoris,489000,2,978000,QRIS,58
2024-05-28,Malang,Kulkas,6431000,1,6431000,Kartu Debit,29
2024-05-28,Surabaya,Aksesoris,668000,1,668000,QRIS,34
2024-05-28,Malang,Smartphone,3689000,1,3689000,QRIS,54
2024-05-28,Bandung,Smartphone,8637000,3,25911000,Kartu Debit,21
2024-05-28,Malang,Aksesoris,59000,3,177000,QRIS,31
2024-05-29,Surabaya,AC,4968000,1,4968000,Tunai,29
2024-05-29,Jakarta,Laptop,12897000,1,12897000,QRIS,32
2024-05-29,Surabaya,TV,11860000,1,11860000,Kartu Debit,43
2024-05-30,Jakarta,TV,11705000,2,23410000,Tunai,20
2024-05-30,Bandung,Smartphone,7884000,1,7884000,Kartu Debit,17
2024-05-31,Surabaya,Aksesoris,656000,1,656000,Kartu Debit,45
2024-05-31,Malang,Aksesoris,600000,1,600000,QRIS,19
2024-06-01,Surabaya,Kulkas,7242000,3,21726000,Kartu Kredit,37
2024-06-02,Jakarta,TV,2930000,3,8790000,Tunai,34
2024-06-02,Malang,Smartphone,8830000,1,8830000,QRIS,20
2024-06-03,Malang,Laptop,8580000,2,17160000,QRIS,26
2024-06-03,Jakarta,Smartphone,7550000,1,7550000,Kartu Debit,22
2024-06-04,Surabaya,Aksesoris,321000,1,321000,Kartu Debit,34
2024-06-04,Jakarta,TV,9279000,2,18558000,Kartu Kredit,17
2024-06-04,Surabaya,Kulkas,2430000,1,2430000,QRIS,24
2024-06-05,Jakarta,Smartphone,10464000,1,10464000,Kartu Debit,21
2024-06-06,Bandung,Smartphone,2789000,1,2789000,Kartu Kredit,54
2024-06-06,Surabaya,Aksesoris,755000,1,755000,Kartu Debit,32
2024-06-06,Surabaya,Smartphone,11484000,1,11484000,QRIS,45
2024-06-06,Jakarta,Smartphone,9513000,1,9513000,Tunai,44
2024-06-06,Malang,Smartphone,7832000,2,15664000,Kartu Debit,34
2024-06-08,Bandung,Smartphone,2957000,1,2957000,Kartu Debit,25
2024-06-08,Malang,Laptop,14515000,1,14515000,Kartu Debit,59
2024-06-09,Bandung,Aksesoris,689000,1,689000,Kartu Debit,22
2024-06-09,Jakarta,Smartphone,6002000,1,6002000,QRIS,42
2024-06-09,Malang,Laptop,8899000,1,8899000,QRIS,54
2024-06-09,Malang,Kulkas,4178000,2,8356000,QRIS,28
2024-06-10,Jakarta,Smartphone,4341000,1,4341000,Tunai,38
2024-06-11,Malang,AC,7561000,1,7561000,Kartu Debit,27
2024-06-12,Jakarta,Smartphone,10715000,3,32145000,Tunai,47
2024-06-12,Malang,Laptop,17045000,1,17045000,QRIS,25
2024-06-13,Malang,Smartphone,9222000,2,18444000,Kartu Kredit,30
2024-06-13,Jakarta,TV,12688000,1,12688000,QRIS,47
2024-06-14,Surabaya,AC,5856000,1,5856000,Kartu Debit,39
2024-06-15,Surabaya,Kulkas,2278000,1,2278000,QRIS,17
2024-06-15,Surabaya,Laptop,14016000,1,5606400,Kartu Kredit,25
2024-06-16,Jakarta,Smartphone,2311000,1,2311000,QRIS,41
2024-06-17,Malang,Laptop,9630000,2,19260000,Tunai,25
2024-06-17,Malang,Aksesoris,140000,1,140000,Kartu Debit,30
2024-06-17,Jakarta,AC,3806000,1,3806000,QRIS,31
2024-06-18,Surabaya,Smartphone,6766000,1,6766000,Tunai,47
2024-06-18,Jakarta,Aksesoris,511000,1,511000,QRIS,28
2024-06-19,Malang,Laptop,19596000,1,19596000,QRIS,59
2024-06-20,Jakarta,Aksesoris,683000,1,683000,Kartu Debit,31
2024-06-20,Malang,Aksesoris,387000,2,774000,QRIS,17
2024-06-20,Malang,Smartphone,4466000,1,4466000,Kartu Kredit,24
2024-06-21,Jakarta,Aksesoris,207000,2,414000,Kartu Debit,24
2024-06-22,Malang,Smartphone,5969000,1,5969000,Kartu Debit,45
2024-06-22,Surabaya,Aksesoris,267000,1,267000,Tunai,44
2024-06-22,Bandung,Aksesoris,635000,1,635000,QRIS,35
2024-06-23,Bandung,Aksesoris,51000,1,51000,QRIS,35
2024-06-23,Jakarta,Smartphone,10159000,2,20318000,Kartu Kredit,44
2024-06-23,Malang,Smartphone,10571000,1,10571000,QRIS,30
2024-06-23,Malang,TV,9560000,1,9560000,Kartu Kredit,27
2024-06-23,Malang,Aksesoris,187000,1,187000,QRIS,38
2024-06-25,Jakarta,Aksesoris,261000,1,261000,Kartu Kredit,26
2024-06-25,Bandung,Laptop,16243000,1,16243000,Kartu Kredit,52
2024-06-25,Malang,Aksesoris,312000,1,312000,Tunai,64
2024-06-26,Malang,Aksesoris,757000,1,757000,Tunai,44
2024-06-26,Jakarta,Smartphone,3881000,1,3881000,QRIS,45
2024-06-26,Bandung,Laptop,12766000,2,25532000,Kartu Kredit,43
2024-06-26,Surabaya,Smartphone,2626000,2,5252000,QRIS,17
